Experiment,Algorithm,RT,BILL
lqn01-4f.lqn,GCR,12720.8,4328460.0
lqn01-4f.lqn,NC,3787.9,39334500.0
lqn01-4f.lqn,WL,3957.67,17332000.0
lqn02-14f.lqn,GCR,161688.0,15014900.0
lqn02-14f.lqn,NC,46604.2,146600000.0
lqn02-14f.lqn,WL,34751.7,159445000.0
lqn03-16f.lqn,GCR,94452.5,12578200.0
lqn03-16f.lqn,NC,51552.7,121167000.0
lqn03-16f.lqn,WL,28852.8,103635000.0
lqn04-6f.lqn,GCR,18015.2,4778750.0
lqn04-6f.lqn,NC,4764.42,47332400.0
lqn04-6f.lqn,WL,4638.5,27130500.0
lqn05-7f.lqn,GCR,27543.3,4735340.0
lqn05-7f.lqn,NC,8631.75,51402400.0
lqn05-7f.lqn,WL,7868.41,26593700.0
lqn06-13f.lqn,GCR,274620.0,12651100.0
lqn06-13f.lqn,NC,65766.2,126089000.0
lqn06-13f.lqn,WL,60534.0,119012000.0
lqn07-15f.lqn,GCR,67620.2,12025500.0
lqn07-15f.lqn,NC,33617.7,113373000.0
lqn07-15f.lqn,WL,19240.1,92691700.0
lqn08-11f.lqn,GCR,170907.0,8815520.0
lqn08-11f.lqn,NC,67475.4,94057600.0
lqn08-11f.lqn,WL,38215.0,86564800.0
lqn09-7f.lqn,GCR,61020.8,7347370.0
lqn09-7f.lqn,NC,20379.6,92064600.0
lqn09-7f.lqn,WL,16061.4,59664000.0
lqn10-8f.lqn,GCR,28359.9,5899140.0
lqn10-8f.lqn,NC,9540.31,66350400.0
lqn10-8f.lqn,WL,7821.24,40858300.0
lqn11-9f.lqn,GCR,31548.7,6893250.0
lqn11-9f.lqn,NC,11415.9,74342100.0
lqn11-9f.lqn,WL,9981.31,45489700.0
lqn12-11f.lqn,GCR,39524.7,6293410.0
lqn12-11f.lqn,NC,12421.6,81554400.0
lqn12-11f.lqn,WL,11939.4,51603800.0
lqn13-6f.lqn,GCR,43917.5,6979230.0
lqn13-6f.lqn,NC,13608.7,80979300.0
lqn13-6f.lqn,WL,12368.3,47912800.0
lqn14-12f.lqn,GCR,193532.0,11039400.0
lqn14-12f.lqn,NC,40079.1,139563000.0
lqn14-12f.lqn,WL,36115.9,121882000.0
lqn15-18f.lqn,GCR,80024.7,19593600.0
lqn15-18f.lqn,NC,20086.2,140419000.0
lqn15-18f.lqn,WL,23102.8,149908000.0
lqn16-14f.lqn,GCR,67544.0,8969520.0
lqn16-14f.lqn,NC,26475.5,129979000.0
lqn16-14f.lqn,WL,27800.6,100607000.0
lqn17-5f.lqn,GCR,21142.6,4075820.0
lqn17-5f.lqn,NC,6220.42,41093300.0
lqn17-5f.lqn,WL,5968.37,23653100.0
lqn18-17f.lqn,GCR,66793.0,17716400.0
lqn18-17f.lqn,NC,17852.3,125157000.0
lqn18-17f.lqn,WL,19538.7,122718000.0
lqn19-6f.lqn,GCR,18207.6,4454960.0
lqn19-6f.lqn,NC,4241.54,39803200.0
lqn19-6f.lqn,WL,4333.57,21853600.0
lqn20-15f.lqn,GCR,0.0,11202300.0
lqn20-15f.lqn,NC,72659.6,228106000.0
lqn20-15f.lqn,WL,35557.5,193478000.0
