LQNS Service Time,Log Service Time,Relative Error
5389,5397,0.0014823049842505095
6570,6764,0.028681253696037846
6067,6198,0.021135850274282025
7502,7339,0.022210110369260117
6350,6056,0.04854689564068692
4714,4471,0.05435025721315142
5435,4816,0.12852990033222592
5569,5577,0.0014344629729245114
9790,9819,0.002953457582238517
6049,6058,0.0014856388246946186
2260,2260,0.0
2509,2510,0.00039840637450199205
960,960,0.0
3058,3060,0.00065359477124183
2500,2500,0.0
180,180,0.0
1780,1780,0.0
