filename,functions,calls,synch_calls,async_calls,perc_async,prob_choices,paral_choices,perc_paral
lqn01-7f.lqn,6,15,7,8,53.33,4,0,0.0
lqn02-8f.lqn,7,21,13,8,38.1,5,0,0.0
lqn03-6f.lqn,5,10,6,4,40.0,3,0,0.0
lqn04-16f.lqn,15,105,69,36,34.29,13,0,0.0
lqn05-7f.lqn,6,15,11,4,26.67,4,0,0.0
lqn06-6f.lqn,5,10,7,3,30.0,3,0,0.0
lqn07-15f.lqn,14,91,62,29,31.87,12,0,0.0
lqn08-5f.lqn,4,6,3,3,50.0,2,0,0.0
lqn09-5f.lqn,4,6,5,1,16.67,2,0,0.0
lqn10-14f.lqn,13,78,48,30,38.46,11,0,0.0
lqn11-12f.lqn,11,55,33,22,40.0,9,0,0.0
lqn12-11f.lqn,10,45,29,16,35.56,8,0,0.0
lqn13-5f.lqn,4,6,4,2,33.33,2,0,0.0
lqn14-6f.lqn,5,10,8,2,20.0,3,0,0.0
lqn15-5f.lqn,4,6,3,3,50.0,2,0,0.0
lqn16-6f.lqn,5,10,9,1,10.0,3,0,0.0
lqn17-9f.lqn,8,28,17,11,39.29,6,0,0.0
lqn18-19f.lqn,18,153,112,41,26.8,16,0,0.0
lqn19-10f.lqn,9,36,24,12,33.33,7,0,0.0
lqn20-14f.lqn,13,78,50,28,35.9,11,0,0.0
