filename,functions,calls,synch_calls,async_calls,perc_async,prob_choices,paral_choices,perc_paral
lqn01-4f.lqn,3,3,3,0,0.0,1,0,0.0
lqn02-14f.lqn,13,78,78,0,0.0,7,4,36.36
lqn03-16f.lqn,15,105,105,0,0.0,8,5,38.46
lqn04-6f.lqn,5,10,10,0,0.0,2,1,33.33
lqn05-7f.lqn,6,15,15,0,0.0,3,1,25.0
lqn06-13f.lqn,12,66,66,0,0.0,6,4,40.0
lqn07-15f.lqn,14,91,91,0,0.0,7,5,41.67
lqn08-11f.lqn,10,45,45,0,0.0,5,3,37.5
lqn09-7f.lqn,6,15,15,0,0.0,2,2,50.0
lqn10-8f.lqn,7,21,21,0,0.0,2,3,60.0
lqn11-9f.lqn,8,28,28,0,0.0,4,2,33.33
lqn12-11f.lqn,10,45,45,0,0.0,6,2,25.0
lqn13-6f.lqn,5,10,10,0,0.0,2,1,33.33
lqn14-12f.lqn,11,55,55,0,0.0,6,3,33.33
lqn15-18f.lqn,17,136,136,0,0.0,10,5,33.33
lqn16-14f.lqn,13,78,78,0,0.0,7,4,36.36
lqn17-5f.lqn,4,6,6,0,0.0,2,0,0.0
lqn18-17f.lqn,16,120,120,0,0.0,9,5,35.71
lqn19-6f.lqn,5,10,10,0,0.0,2,1,33.33
lqn20-15f.lqn,14,91,91,0,0.0,6,6,50.0
